date,cases,deaths
2020-01-21,1,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,2,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,3,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,1,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,1,0
2020-02-11,0,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,10,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,2,0
2020-02-21,3,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,13,0
2020-02-25,2,0
2020-02-26,15,0
2020-02-27,0,0
2020-02-28,5,0
2020-02-29,5,1
2020-03-01,18,2
2020-03-02,16,3
2020-03-03,21,4
2020-03-04,36,2
2020-03-05,67,0
2020-03-06,83,3
2020-03-07,117,4
2020-03-08,119,3
2020-03-09,201,4
2020-03-10,270,5
2020-03-11,245,6
2020-03-12,405,6
2020-03-13,556,7
2020-03-14,674,10
2020-03-15,702,8
2020-03-16,907,23
2020-03-17,1399,26
2020-03-18,2444,45
2020-03-19,4043,50
2020-03-20,5619,65
2020-03-21,6516,83
2020-03-22,8545,98
2020-03-23,10432,121
2020-03-24,10433,206
2020-03-25,14634,269
2020-03-26,16998,299
2020-03-27,17330,417
2020-03-28,21066,530
2020-03-29,18520,418
2020-03-30,21469,650
2020-03-31,24506,936
2020-04-01,26930,1021
2020-04-02,29717,1216
2020-04-03,32318,1391
2020-04-04,35099,1556
2020-04-05,25616,1368
2020-04-06,30916,1526
2020-04-07,30337,2234
2020-04-08,31820,2085
2020-04-09,34699,2120
2020-04-10,33473,2263
2020-04-11,31720,2084
2020-04-12,27143,1681
2020-04-13,25769,1764
2020-04-14,26691,2705
2020-04-15,30033,2752
2020-04-16,31613,2349
2020-04-17,31509,2289
2020-04-18,28398,1951
2020-04-19,25334,1520
2020-04-20,27395,1837
2020-04-21,25514,2672
2020-04-22,28831,2371
2020-04-23,33776,2169
2020-04-24,36741,2132
2020-04-25,34408,1967
2020-04-26,26735,1253
2020-04-27,23197,1442
2020-04-28,24651,2394
2020-04-29,26555,2514
2020-04-30,30357,2210
2020-05-01,33970,1762
2020-05-02,29474,1583
2020-05-03,26140,1331
2020-05-04,21962,1089
2020-05-05,23709,2234
2020-05-06,24506,2708
2020-05-07,28478,1958
2020-05-08,27648,1575
2020-05-09,24868,1454
2020-05-10,20317,932
2020-05-11,17621,982
2020-05-12,22300,1652
2020-05-13,21145,1768
2020-05-14,26962,1738
2020-05-15,26237,1593
2020-05-16,23659,1225
2020-05-17,19014,844
2020-05-18,21827,846
2020-05-19,20977,1520
2020-05-20,23070,1477
2020-05-21,25733,1311
2020-05-22,23799,1288
2020-05-23,22268,1050
2020-05-24,20031,620
2020-05-25,19100,510
2020-05-26,18896,747
2020-05-27,18744,1485
2020-05-28,22512,1200
2020-05-29,24548,1190
2020-05-30,23397,963
2020-05-31,20634,604
2020-06-01,21897,734
2020-06-02,20791,1082
2020-06-03,19987,989
2020-06-04,21616,1008
2020-06-05,28709,1112
2020-06-06,22516,728
2020-06-07,18616,390
2020-06-08,18207,722
2020-06-09,18805,1030
2020-06-10,22852,929
2020-06-11,23202,877
2020-06-12,25493,779
2020-06-13,25334,692
2020-06-14,19130,317
2020-06-15,20117,448
2020-06-16,24885,769
2020-06-17,25655,761
2020-06-18,28059,727
2020-06-19,30836,698
2020-06-20,32025,546
2020-06-21,26379,257
2020-06-22,30466,360
2020-06-23,35060,833
2020-06-24,36989,767
2020-06-25,41173,2466
2020-06-26,45528,633
2020-06-27,42299,511
2020-06-28,39508,271
2020-06-29,39496,347
2020-06-30,48389,1300
2020-07-01,49975,642
2020-07-02,55559,723
2020-07-03,57154,591
2020-07-04,50006,261
2020-07-05,44767,262
2020-07-06,47316,391
2020-07-07,54084,958
2020-07-08,59455,948
2020-07-09,59889,841
2020-07-10,68227,828
2020-07-11,60721,675
2020-07-12,57805,395
2020-07-13,61567,425
2020-07-14,65602,954
2020-07-15,68342,971
2020-07-16,75687,958
2020-07-17,70923,901
2020-07-18,62451,775
2020-07-19,62275,412
2020-07-20,59888,531
2020-07-21,65277,1127
2020-07-22,69739,1136
2020-07-23,70006,1116
2020-07-24,73525,1146
2020-07-25,66776,884
2020-07-26,54217,440
2020-07-27,59181,1696
2020-07-28,63116,1327
2020-07-29,66616,1396
2020-07-30,69114,1261
2020-07-31,69088,1429
2020-08-01,56828,1055
2020-08-02,50794,420
2020-08-03,47484,608
2020-08-04,53549,1356
2020-08-05,53723,1253
2020-08-06,57514,1071
2020-08-07,61157,1356
2020-08-08,55240,966
2020-08-09,48480,539
2020-08-10,47173,537
2020-08-11,53357,1451
2020-08-12,54278,1478
2020-08-13,54061,1213
2020-08-14,59477,1176
2020-08-15,50743,1059
2020-08-16,42137,514
2020-08-17,37523,535
2020-08-18,43233,1349
2020-08-19,43013,1295
2020-08-20,46029,1043
2020-08-21,49029,1161
